falied,2019-1-4,2019-1-6
success,2019-2-2,2019-2-6
falied,2019-3-1,2019-3-2
success,2019-3-3,2019-3-3
falied,2019-3-4,2019-3-5
success,2019-3-8,2019-3-8
falied,2019-4-2,2019-4-2
success,2019-4-3,2019-5-2
falied,2019-5-4,2019-5-4
success,2019-5-5,2019-6-4
falied,2019-6-6,2019-6-8
success,2019-6-9,2019-7-3
falied,2019-7-5,2019-7-6
success,2019-7-7,2019-7-7
falied,2019-7-8,2019-7-8
success,2019-7-9,2019-8-5
falied,2019-8-9,2019-8-9
success,2019-9-1,2020-1-2
falied,2020-1-3,2020-1-5
success,2020-1-6,2020-2-8
falied,2020-3-1,2020-3-1
success,2020-3-2,2020-3-3
falied,2020-3-4,2020-3-4
success,2020-3-8,2020-5-6
falied,2020-5-8,2020-5-8
success,2020-6-2,2020-6-8
falied,2020-6-9,2020-6-9
success,2020-7-2,2020-7-2
falied,2020-7-5,2020-7-5
success,2020-7-9,2020-7-9
falied,2020-8-1,2020-8-1
success,2020-8-3,2020-8-5
falied,2020-8-7,2020-8-7
success,2020-9-1,2020-9-3
falied,2020-9-5,2020-9-5
success,2021-1-3,2021-1-3
falied,2021-1-5,2021-1-5
success,2021-1-7,2021-1-8
falied,2021-2-1,2021-2-1
success,2021-2-2,2021-2-2
falied,2021-2-3,2021-2-3
success,2021-2-4,2021-2-8
falied,2021-3-1,2021-3-2
success,2021-3-5,2021-3-7
falied,2021-4-1,2021-4-1
success,2021-4-2,2021-4-7
falied,2021-4-8,2021-5-7
success,2021-5-9,2021-5-9
falied,2021-6-3,2021-7-6
success,2021-8-4,2021-9-2
falied,2021-9-5,2021-9-8
success,2021-9-9,2022-1-1
falied,2022-1-3,2022-1-3
success,2022-1-5,2022-4-3
falied,2022-4-4,2022-4-4
success,2022-5-2,2022-5-2
falied,2022-5-3,2022-5-6
success,2022-5-8,2022-6-2
falied,2022-6-5,2022-6-5
success,2022-7-1,2022-7-1
falied,2022-7-2,2022-7-2
success,2022-7-4,2022-7-4
falied,2022-7-5,2022-7-5
success,2022-7-7,2022-7-7
falied,2022-7-8,2022-8-1
success,2022-8-6,2022-8-6
falied,2022-8-7,2022-8-7
success,2022-9-2,2022-9-4
falied,2022-9-5,2022-9-5
success,2022-9-9,2019-10-4
falied,2019-10-6,2019-12-2
success,2019-1-24,2019-1-24
falied,2019-12-8,2019-2-10
success,2019-2-16,2019-2-28
falied,2019-2-30,2019-2-30
success,2019-3-10,2019-3-10
falied,2019-3-12,2019-3-12
success,2019-3-19,2019-3-19
falied,2019-3-21,2019-3-23
success,2019-3-24,2019-3-24
falied,2019-3-27,2019-4-11
success,2019-4-16,2019-4-16
falied,2019-4-18,2019-4-18
success,2019-4-23,2019-4-26
falied,2019-4-29,2019-4-30
success,2019-5-10,2019-5-18
falied,2019-5-25,2019-5-28
success,2019-5-31,2019-6-15
falied,2019-6-16,2019-6-19
success,2019-6-20,2019-6-20
falied,2019-6-21,2019-6-24
success,2019-6-31,2019-6-31
falied,2019-7-10,2019-7-12
success,2019-7-14,2019-7-16
falied,2019-7-18,2019-7-21
success,2019-7-22,2019-7-28
falied,2019-7-31,2019-7-31
success,2019-8-11,2019-8-11
falied,2019-8-15,2019-8-28
success,2019-8-29,2019-8-29
falied,2019-8-31,2019-9-10
success,2019-9-12,2019-9-16
falied,2019-9-17,2019-9-24
success,2019-9-27,2019-9-27
falied,2019-9-29,2019-9-29
success,2019-9-30,2020-10-2
falied,2020-10-3,2020-10-5
success,2020-10-8,2020-10-8
falied,2020-1-11,2020-1-11
success,2020-11-2,2020-11-2
falied,2020-11-3,2020-11-3
success,2020-1-14,2020-1-15
falied,2020-11-7,2020-11-7
success,2020-1-17,2020-12-1
falied,2020-12-3,2020-12-3
success,2020-12-5,2020-12-5
falied,2020-12-6,2020-12-6
success,2020-1-26,2020-1-26
falied,2020-12-7,2020-12-7
success,2020-1-27,2020-1-27
falied,2020-1-28,2020-1-28
success,2020-1-29,2020-2-10
falied,2020-2-12,2020-2-12
success,2020-2-14,2020-2-14
falied,2020-2-17,2020-2-25
success,2020-2-26,2020-2-26
falied,2020-2-28,2020-2-28
success,2020-3-11,2020-3-11
falied,2020-3-16,2020-3-18
success,2020-3-19,2020-3-19
falied,2020-3-22,2020-3-22
success,2020-3-24,2020-3-24
falied,2020-3-27,2020-3-27
success,2020-3-28,2020-3-29
falied,2020-3-31,2020-4-11
success,2020-4-12,2020-4-12
falied,2020-4-13,2020-4-13
success,2020-4-14,2020-4-14
falied,2020-4-16,2020-4-16
success,2020-4-18,2020-4-18
falied,2020-4-22,2020-4-27
success,2020-4-28,2020-4-28
falied,2020-4-31,2020-4-31
success,2020-5-12,2020-5-12
falied,2020-5-14,2020-5-15
success,2020-5-16,2020-5-19
falied,2020-5-20,2020-5-20
success,2020-5-21,2020-5-25
falied,2020-5-27,2020-6-12
success,2020-6-14,2020-6-14
falied,2020-6-15,2020-6-18
success,2020-6-19,2020-6-19
falied,2020-6-20,2020-6-24
success,2020-6-25,2020-6-25
falied,2020-6-28,2020-7-10
success,2020-7-11,2020-7-11
falied,2020-7-14,2020-7-18
success,2020-7-19,2020-7-24
falied,2020-7-26,2020-7-26
success,2020-7-27,2020-7-27
falied,2020-8-10,2020-8-10
success,2020-8-11,2020-8-11
falied,2020-8-13,2020-8-13
success,2020-8-17,2020-8-20
falied,2020-8-23,2020-8-23
success,2020-8-26,2020-8-29
falied,2020-9-16,2020-9-16
success,2020-9-20,2020-9-20
falied,2020-9-22,2020-9-31
success,2021-10-2,2021-10-2
falied,2021-10-3,2021-10-3
success,2021-10-4,2021-10-4
falied,2021-10-5,2021-11-6
success,2021-11-7,2021-1-25
falied,2021-1-26,2021-12-6
success,2021-12-7,2021-12-9
falied,2021-1-30,2021-1-30
success,2021-1-31,2021-1-31
falied,2021-2-11,2021-2-11
success,2021-2-15,2021-2-15
falied,2021-2-16,2021-2-16
success,2021-2-17,2021-2-17
falied,2021-2-19,2021-2-23
success,2021-2-26,2021-2-26
falied,2021-2-27,2021-2-31
success,2021-3-13,2021-3-15
falied,2021-3-16,2021-3-16
success,2021-3-17,2021-3-17
falied,2021-3-18,2021-3-21
success,2021-3-22,2021-3-22
falied,2021-3-23,2021-3-24
success,2021-3-26,2021-3-29
falied,2021-3-30,2021-3-30
success,2021-4-12,2021-4-16
falied,2021-4-18,2021-4-20
success,2021-4-22,2021-4-22
falied,2021-4-23,2021-4-27
success,2021-4-29,2021-4-29
falied,2021-4-31,2021-4-31
success,2021-5-13,2021-5-16
falied,2021-5-17,2021-5-17
success,2021-5-18,2021-5-18
falied,2021-5-22,2021-5-22
success,2021-5-27,2021-5-29
falied,2021-6-11,2021-6-16
success,2021-6-18,2021-6-23
falied,2021-7-12,2021-7-12
success,2021-7-16,2021-7-20
falied,2021-7-22,2021-7-28
success,2021-8-10,2021-8-12
falied,2021-8-14,2021-8-14
success,2021-8-17,2021-8-17
falied,2021-8-18,2021-8-18
success,2021-8-19,2021-8-19
falied,2021-8-20,2021-8-20
success,2021-8-25,2021-8-25
falied,2021-8-26,2021-8-28
success,2021-8-29,2021-9-13
falied,2021-9-14,2021-9-19
success,2021-9-24,2021-9-24
falied,2021-9-29,2021-9-30
success,2021-9-31,2021-9-31
falied,2022-10-2,2022-10-2
success,2022-10-6,2022-10-7
falied,2022-10-8,2022-10-8
success,2022-1-10,2022-1-10
falied,2022-11-2,2022-1-20
success,2022-12-1,2022-12-1
falied,2022-12-3,2022-12-3
success,2022-12-4,2022-12-4
falied,2022-1-26,2022-12-7
success,2022-12-9,2022-1-30
falied,2022-1-31,2022-1-31
success,2022-2-10,2022-2-13
falied,2022-2-15,2022-2-16
success,2022-2-21,2022-2-24
falied,2022-2-25,2022-3-24
success,2022-3-25,2022-4-11
falied,2022-4-14,2022-4-22
success,2022-4-23,2022-4-23
falied,2022-4-24,2022-4-28
success,2022-4-29,2022-4-29
falied,2022-5-15,2022-5-15
success,2022-5-16,2022-5-21
falied,2022-5-22,2022-5-23
success,2022-6-19,2022-6-19
falied,2022-6-20,2022-6-20
success,2022-6-24,2022-7-20
falied,2022-7-24,2022-7-24
success,2022-7-26,2022-7-26
falied,2022-7-27,2022-7-27
success,2022-7-28,2022-7-29
falied,2022-7-30,2022-7-31
success,2022-8-10,2022-8-10
falied,2022-8-12,2022-8-12
success,2022-8-16,2022-8-16
falied,2022-8-17,2022-8-22
success,2022-8-24,2022-8-27
falied,2022-8-29,2022-8-29
success,2022-9-12,2022-9-13
falied,2022-9-14,2022-9-14
success,2022-9-15,2022-9-18
falied,2022-9-19,2022-9-19
success,2022-9-28,2022-9-28
falied,2022-9-31,2019-10-11
success,2019-10-12,2019-10-12
falied,2019-10-13,2019-10-15
success,2019-10-16,2019-10-16
falied,2019-10-19,2019-10-19
success,2019-10-21,2019-10-21
falied,2019-10-22,2019-10-22
success,2019-10-23,2019-10-23
falied,2019-10-24,2019-10-27
success,2019-10-29,2019-11-10
falied,2019-11-12,2019-11-12
success,2019-11-14,2019-11-14
falied,2019-11-15,2019-11-15
success,2019-11-16,2019-11-16
