,user_id,page_id
0,27,96
1,27,33
2,27,36
3,27,39
4,25,97
5,25,34
6,25,1
7,25,68
8,25,79
9,25,21
10,25,62
11,23,1
12,23,34
13,23,9
14,23,10
15,23,77
16,23,46
17,23,25
18,96,11
19,96,19
20,96,84
21,96,94
22,60,36
23,60,77
24,60,46
25,60,18
26,60,84
27,83,40
28,83,11
29,83,75
30,83,44
31,83,88
32,40,97
33,40,9
34,40,11
35,40,12
36,40,22
37,40,30
38,40,62
39,82,97
40,82,12
41,82,62
42,82,23
43,69,33
44,69,34
45,69,39
46,69,78
47,69,55
48,30,69
49,30,47
50,30,30
51,30,58
52,30,94
53,77,34
54,77,68
55,77,7
56,77,42
57,77,13
58,77,79
59,77,88
60,42,1
61,42,34
62,42,68
63,42,40
64,42,79
65,42,18
66,42,84
67,68,96
68,68,11
69,68,21
70,85,34
71,85,3
72,85,9
73,85,11
74,85,12
75,85,47
76,85,17
77,80,78
78,80,18
79,80,52
80,80,21
81,80,84
82,66,99
83,66,7
84,66,9
85,66,42
86,66,13
87,66,30
88,22,38
89,22,7
90,22,8
91,22,72
92,22,75
93,22,13
94,22,46
95,22,85
96,22,21
97,22,60
98,13,84
99,13,21
100,67,64
101,67,40
102,67,48
103,67,81
104,67,49
105,67,95
106,9,80
107,9,88
108,9,42
109,9,67
110,37,64
111,37,34
112,37,11
113,37,12
114,37,77
115,37,46
116,37,48
117,37,95
118,74,19
119,74,34
120,74,3
121,84,97
122,84,92
123,84,12
124,84,62
125,51,34
126,51,3
127,51,9
128,51,78
129,51,23
130,56,96
131,56,1
132,56,34
133,56,67
134,56,40
135,56,80
136,56,49
137,56,84
138,93,40
139,93,75
140,93,44
141,93,78
142,93,17
143,93,88
144,95,78
145,95,19
146,95,30
147,95,22
148,21,56
149,21,55
150,43,33
151,43,67
152,43,39
153,43,8
154,43,75
155,43,78
156,43,47
157,43,80
158,43,24
159,89,96
160,89,67
161,89,68
162,89,79
163,89,80
164,89,50
165,90,38
166,90,72
167,90,45
168,90,47
169,90,21
170,90,22
171,90,55
172,90,58
173,90,30
174,4,33
175,4,67
176,4,40
177,4,9
178,4,75
179,4,11
180,4,45
181,4,47
182,4,59
183,62,33
184,62,67
185,62,68
186,62,69
187,62,9
188,62,25
189,17,80
190,17,67
191,19,9
192,19,36
193,19,13
194,19,7
195,76,64
196,76,97
197,76,40
198,76,11
199,76,45
200,76,48
201,76,49
202,76,94
203,76,62
204,76,95
205,87,33
206,87,67
207,87,9
208,87,22
209,87,24
210,87,92
211,61,47
212,61,45
213,61,22
214,61,23
215,32,11
216,32,22
217,32,30
218,32,55
219,48,33
220,48,67
221,48,99
222,48,42
223,48,50
224,81,9
225,81,5
226,81,46
227,81,25
228,59,5
229,59,7
230,59,13
231,59,78
232,59,46
233,59,30
234,8,9
235,8,46
236,8,78
237,8,18
238,8,85
239,8,21
240,8,59
241,8,60
242,97,64
243,97,38
244,97,40
245,97,72
246,97,75
247,97,48
248,97,50
249,97,95
250,58,9
251,58,50
252,58,84
253,73,97
254,73,9
255,73,22
256,73,30
257,73,62
258,63,9
259,63,47
260,63,52
261,63,25
262,63,58
263,38,40
264,38,46
265,38,18
266,38,84
267,38,24
268,15,33
269,15,67
270,15,68
271,15,12
272,15,77
273,15,46
274,15,79
275,15,24
276,50,68
277,50,40
278,50,45
279,50,49
280,50,22
281,50,30
282,34,9
283,34,22
284,34,25
285,6,40
286,6,10
287,6,18
288,6,84
289,6,21
290,71,33
291,71,67
292,71,36
293,71,5
294,71,22
295,71,88
296,79,69
297,79,9
298,79,44
299,79,47
300,79,88
301,79,25
302,16,9
303,16,12
304,16,77
305,16,46
306,16,21
307,16,22
308,16,55
309,72,12
310,72,22
311,52,64
312,52,48
313,52,95
314,35,1
315,35,34
316,35,19
317,35,85
318,35,55
319,78,40
320,78,18
321,78,84
322,78,92
323,26,33
324,26,34
325,26,67
326,26,69
327,26,18
328,26,59
329,26,94
330,99,34
331,99,45
332,3,64
333,3,81
334,3,94
335,2,5
336,2,9
337,2,11
338,2,52
339,2,88
340,47,11
341,47,22
342,47,23
343,65,64
344,65,81
345,65,92
346,11,33
347,11,67
348,11,12
349,11,23
350,91,23
351,41,9
352,41,74
353,41,68
354,41,79
355,57,9
356,57,36
357,57,47
358,57,84
359,20,88
360,20,34
361,20,19
362,92,9
363,92,45
364,98,47
365,28,40
366,28,12
367,28,45
368,28,49
369,28,88
370,28,56
371,28,59
372,31,96
373,31,36
374,31,19
375,31,22
376,31,30
377,14,45
378,14,47
379,14,52
380,14,22
381,14,30
382,45,9
383,45,92
384,53,99
385,53,67
386,53,42
387,53,77
388,53,78
389,53,46
390,53,80
391,53,18
392,53,52
393,53,56
394,33,17
395,33,12
396,33,30
397,44,1
398,44,45
399,70,64
400,70,81
401,1,84
402,1,54
403,1,47
404,94,24
405,94,11
406,46,97
407,46,19
408,46,62
409,64,42
410,64,99
411,64,12
412,49,59
413,49,47
414,7,72
415,7,74
416,7,38
417,86,34
418,86,99
419,86,3
420,86,42
421,86,47
422,86,19
423,86,58
424,5,5
425,5,38
426,5,72
427,5,9
428,5,12
429,5,44
430,5,45
431,5,88
432,5,25
433,18,45
434,88,34
435,88,84
436,88,54
437,24,18
438,24,59
439,24,68
440,100,88
441,100,42
442,100,56
443,100,46
444,39,94
445,36,9
446,36,13
447,36,7
448,12,68
449,12,77
