,post_id,topic
0,0,1
1,1,"1,3"
2,2,"1,4"
3,3,1
4,4,"1,3"
5,5,
6,6,"1,4"
7,7,
8,8,"1,4"
9,9,"2,3"
10,10,1
11,11,
12,12,"1,3,4"
13,13,"1,2,3,4"
14,14,
15,15,3
16,16,4
17,17,
18,18,"2,3,4"
19,19,"1,2"
20,20,4
21,21,2
22,22,"1,3"
23,23,2
24,24,"1,4"
25,25,"1,3"
26,26,"1,4"
27,27,"1,3"
28,28,"1,2"
29,29,1
30,30,"1,3"
31,31,1
32,32,1
33,33,
34,34,3
35,35,4
36,36,"2,3"
37,37,"2,3"
38,38,3
39,39,"2,3"
40,40,"1,2,3"
41,41,3
42,42,1
43,43,"1,2"
44,44,"1,2"
45,45,3
46,46,"3,4"
47,47,2
48,48,
49,49,
50,50,
51,51,"1,4"
52,52,"2,3"
53,53,"1,3,4"
54,54,
55,55,4
56,56,"1,2,4"
57,57,
58,58,3
59,59,"1,3,4"
60,60,"1,2,3"
61,61,"1,2"
62,62,"1,2,4"
63,63,4
64,64,"1,3"
65,65,
66,66,
67,67,4
68,68,"1,3"
69,69,"1,2,3,4"
70,70,"1,2"
71,71,"1,2,3,4"
72,72,2
73,73,1
74,74,
75,75,"1,2,3,4"
76,76,4
77,77,"1,3"
78,78,1
79,79,"3,4"
80,80,2
81,81,
82,82,"1,2,4"
83,83,1
84,84,3
85,85,4
86,86,"2,3"
87,87,"1,3,4"
88,88,"1,2"
89,89,
90,90,4
91,91,"1,2"
92,92,"1,2,3"
93,93,1
94,94,1
95,95,1
96,96,"3,4"
97,97,"1,2,3"
98,98,3
99,99,3
100,100,4
101,101,"1,2"
102,102,"1,2"
103,103,3
104,104,"3,4"
105,105,"1,3,4"
106,106,"1,2,4"
107,107,"1,2,3,4"
108,108,3
109,109,4
110,110,"1,3,4"
111,111,"1,2"
112,112,"1,2,4"
113,113,"1,2"
114,114,2
115,115,"1,2,3"
116,116,
117,117,1
118,118,"1,2"
119,119,"1,2"
120,120,1
121,121,"1,4"
122,122,
123,123,4
124,124,1
125,125,
126,126,3
127,127,"1,3"
128,128,2
129,129,"1,3"
130,130,"1,3"
131,131,
132,132,4
133,133,
134,134,"3,4"
135,135,4
136,136,4
137,137,2
138,138,
139,139,1
140,140,"1,3"
141,141,
142,142,1
143,143,"2,4"
144,144,"3,4"
145,145,"1,2,4"
146,146,"1,3,4"
147,147,"1,4"
148,148,2
149,149,"1,2,4"
150,150,"1,2,4"
151,151,1
152,152,
153,153,"1,2"
154,154,"1,3"
155,155,
156,156,"1,2,3,4"
157,157,"1,2,3,4"
158,158,3
159,159,"1,4"
160,160,4
161,161,"1,2,4"
162,162,"2,4"
163,163,"1,4"
164,164,"1,3,4"
165,165,"1,4"
166,166,"1,4"
167,167,"1,3,4"
168,168,"1,2,3"
169,169,3
170,170,"2,4"
171,171,"1,2"
172,172,1
173,173,
174,174,"1,2,4"
175,175,4
176,176,"1,3"
177,177,"1,3"
178,178,"2,3,4"
179,179,"1,2,3"
180,180,"1,2,3,4"
181,181,"1,2"
182,182,"1,2,3"
183,183,"1,2,3"
184,184,1
185,185,"1,3,4"
186,186,3
187,187,"1,2,3"
188,188,1
189,189,"1,4"
190,190,4
191,191,1
192,192,3
193,193,2
194,194,
195,195,
196,196,1
197,197,"2,4"
198,198,"2,4"
199,199,4
200,200,3
201,201,
202,202,"1,2,3"
203,203,4
204,204,"1,3"
205,205,4
206,206,3
207,207,3
208,208,
209,209,"1,2,3,4"
210,210,"1,4"
211,211,"1,2"
212,212,"1,4"
213,213,"3,4"
214,214,2
215,215,
216,216,"1,3"
217,217,"1,2"
218,218,
219,219,1
220,220,"2,4"
221,221,"1,2,3,4"
222,222,2
223,223,
224,224,
225,225,
226,226,"1,2,4"
227,227,1
228,228,
229,229,"2,3"
230,230,"1,2"
231,231,4
232,232,
233,233,"1,2,3"
234,234,
235,235,
236,236,
237,237,"2,4"
238,238,"1,2"
239,239,1
240,240,2
241,241,"3,4"
242,242,"2,4"
243,243,"1,2"
244,244,"1,2"
245,245,"1,2,4"
246,246,"1,2"
247,247,
248,248,
249,249,"2,3"
250,250,1
251,251,1
252,252,1
253,253,
254,254,"1,2"
255,255,
256,256,"1,2,4"
257,257,4
258,258,3
259,259,
260,260,"2,3,4"
261,261,1
262,262,1
263,263,1
264,264,1
265,265,"1,3,4"
266,266,2
267,267,"2,3"
268,268,"1,3"
269,269,"1,3,4"
270,270,3
271,271,
272,272,2
273,273,
274,274,4
275,275,"1,2,4"
276,276,1
277,277,2
278,278,"1,2"
279,279,
280,280,2
281,281,
282,282,"1,4"
283,283,"1,4"
284,284,"3,4"
285,285,"1,2,4"
286,286,4
287,287,"2,3,4"
288,288,1
289,289,"1,4"
290,290,"1,4"
291,291,"1,2"
292,292,"1,2,3"
293,293,1
294,294,
295,295,1
296,296,2
297,297,3
298,298,"1,3"
299,299,"2,4"
300,300,1
301,301,
302,302,"1,2,4"
303,303,1
304,304,2
305,305,"1,2"
306,306,1
307,307,1
308,308,"1,2,4"
309,309,"1,3,4"
310,310,"1,2"
311,311,"1,4"
312,312,
313,313,"3,4"
314,314,"1,2,3"
315,315,
316,316,4
317,317,"1,2"
318,318,
319,319,"1,3,4"
320,320,1
321,321,"2,3,4"
322,322,1
323,323,4
324,324,"1,3"
325,325,1
326,326,"2,4"
327,327,"1,3,4"
328,328,"1,2"
329,329,
330,330,1
331,331,3
332,332,1
333,333,"2,4"
334,334,3
335,335,"1,3,4"
336,336,"3,4"
337,337,4
338,338,
339,339,"1,3"
340,340,1
341,341,1
342,342,"1,2"
343,343,
344,344,2
345,345,"1,3,4"
346,346,3
347,347,"1,2"
348,348,"1,4"
349,349,"2,4"
350,350,
351,351,"1,2,4"
352,352,"1,3"
353,353,"2,4"
354,354,1
355,355,
356,356,1
357,357,"2,3,4"
358,358,2
359,359,"1,2,3,4"
